instrumentid,loctimestamp,openprice,highprice,lowprice,lastprice,volume
EU0009658145D1,2001-01-12,4697.38,4753.19,4694.28,4737.95,
EU0009658145D1,2001-01-15,4733.42,4771.19,4722.88,4763.53,
EU0009658145D1,2001-01-16,4765.05,4765.05,4689.31,4693.82,
EU0009658145D1,2001-01-17,4706.23,4796.42,4706.23,4787.45,
EU0009658145D1,2001-01-18,4786.4,4786.4,4736.86,4754.97,
EU0009658145D1,2001-01-19,4762.31,4811.83,4719.93,4720.03,
EU0009658145D1,2001-01-22,4715.23,4755.91,4686.79,4743.39,
EU0009658145D1,2001-01-23,4730.46,4743.93,4683.58,4743.93,
EU0009658145D1,2001-01-24,4743.93,4795.52,4743.93,4773.26,
EU0009658145D1,2001-01-25,4765.14,4800.79,4746.77,4779.35,
EU0009658145D1,2001-01-26,4776.73,4776.73,4729.75,4760.2,
EU0009658145D1,2001-01-29,4764.4,4768.79,4732.34,4757.09,
EU0009658145D1,2001-01-30,4761.38,4801.37,4700.84,4726.65,
EU0009658145D1,2001-01-31,4728.28,4779.9,4722.57,4779.9,
EU0009658145D1,2001-02-01,4771.81,4771.81,4699.9,4709.19,
EU0009658145D1,2001-02-02,4711.88,4733.98,4663.12,4665.19,
EU0009658145D1,2001-02-05,4657.72,4674.59,4637.84,4668.57,
EU0009658145D1,2001-02-06,4675.79,4706.83,4659.64,4706.83,
EU0009658145D1,2001-02-07,4700.05,4700.05,4630.17,4634.42,
EU0009658145D1,2001-02-08,4628.29,4666.89,4624.55,4653.17,
EU0009658145D1,2001-02-09,4649.02,4649.02,4583.47,4583.76,
EU0009658145D1,2001-02-12,4581.41,4635.78,4568.85,4628.17,
EU0009658145D1,2001-02-13,4635.12,4653.23,4614.46,4629.67,
EU0009658145D1,2001-02-14,4620.3,4620.3,4537.75,4556.49,
EU0009658145D1,2001-02-15,4568.05,4610.63,4551.3,4607.64,
EU0009658145D1,2001-02-16,4588.27,4588.81,4500.47,4519.95,
EU0009658145D1,2001-02-19,4520.45,4540.07,4509.61,4516.31,
EU0009658145D1,2001-02-20,4519.21,4555.33,4471.5,4481.04,
EU0009658145D1,2001-02-21,4478.01,4478.01,4374.02,4412.76,
EU0009658145D1,2001-02-22,4405.25,4416.97,4301.72,4345.1,
EU0009658145D1,2001-02-23,4347.63,4360.96,4221.39,4236.82,
EU0009658145D1,2001-02-26,4239.08,4324.8,4239.08,4310.14,
EU0009658145D1,2001-02-27,4319.67,4362.68,4302.21,4333.32,
EU0009658145D1,2001-02-28,4323.97,4373.06,4299.03,4318.88,
EU0009658145D1,2001-03-01,4306.35,4306.67,4242.36,4282.9,
EU0009658145D1,2001-03-02,4288.23,4330.71,4258.71,4300.35,
EU0009658145D1,2001-03-05,4302.26,4349.24,4293.85,4347.4,
EU0009658145D1,2001-03-06,4357.07,4427.53,4357.07,4412.11,
EU0009658145D1,2001-03-07,4397.28,4429.5,4367.03,4413.62,
EU0009658145D1,2001-03-08,4411.83,4436.72,4364.12,4370.56,
EU0009658145D1,2001-03-09,4367.32,4377.2,4324.48,4334.23,
EU0009658145D1,2001-03-12,4319.78,4319.78,4211.07,4218.14,
EU0009658145D1,2001-03-13,4206.98,4216.18,4150.21,4184.15,
EU0009658145D1,2001-03-14,4187.26,4222.68,4007.27,4124.41,
EU0009658145D1,2001-03-15,4124.58,4200.08,4088.84,4200.08,
EU0009658145D1,2001-03-16,4200.93,4205.6,4103.69,4106.79,
EU0009658145D1,2001-03-19,4111.46,4164.37,4066.58,4085.53,
EU0009658145D1,2001-03-20,4096.06,4159.18,4096.06,4158.42,
EU0009658145D1,2001-03-21,4134.68,4134.68,4030.99,4067.26,
EU0009658145D1,2001-03-22,4055.19,4055.19,3870.34,3891.49,
EU0009658145D1,2001-03-23,3910.78,4015.64,3910.78,4002.56,
EU0009658145D1,2001-03-26,4010.46,4151.18,4010.46,4143.85,
EU0009658145D1,2001-03-27,4136.9,4230.81,4106.85,4229.81,
EU0009658145D1,2001-03-28,4239.29,4239.29,4144.13,4157.55,
EU0009658145D1,2001-03-29,4137.49,4165.75,4063.05,4165.75,
EU0009658145D1,2001-03-30,4165.81,4225.75,4151.6,4185,
EU0009658145D1,2001-04-02,4194.77,4214.69,4120.06,4190.8,
EU0009658145D1,2001-04-03,4170.4,4170.4,4027.39,4039.16,
EU0009658145D1,2001-04-04,4016.51,4072.56,3909.88,4062.12,
EU0009658145D1,2001-04-05,4065.68,4178.63,4065.68,4158.19,
EU0009658145D1,2001-04-06,4167.36,4206.65,4101.82,4145.85,
EU0009658145D1,2001-04-09,4129.27,4221.75,4114.59,4204.13,
EU0009658145D1,2001-04-10,4204.45,4307.99,4204.45,4305.96,
EU0009658145D1,2001-04-11,4299.76,4366.94,4286.92,4329.23,
EU0009658145D1,2001-04-12,4329.65,4353.41,4302.98,4338.12,
EU0009658145D1,2001-04-17,4339.53,4339.53,4215.43,4293.51,
EU0009658145D1,2001-04-18,4311.39,4458.16,4311.39,4441.58,
EU0009658145D1,2001-04-19,4460.15,4469.04,4387.24,4420.55,
EU0009658145D1,2001-04-20,4434.88,4447.42,4365.88,4383.59,
EU0009658145D1,2001-04-23,4380.26,4380.26,4320.69,4331.54,
EU0009658145D1,2001-04-24,4323.57,4402.56,4318.98,4372.41,
EU0009658145D1,2001-04-25,4363.49,4375.6,4332.16,4363.11,
EU0009658145D1,2001-04-26,4367.43,4413.18,4334.82,4405.39,
EU0009658145D1,2001-04-27,4405.04,4497.01,4377.29,4473.95,
EU0009658145D1,2001-04-30,4473.64,4527.61,4473.64,4525.01,
EU0009658145D1,2001-05-02,4530.14,4547,4485.77,4492.33,
EU0009658145D1,2001-05-03,4493.82,4515.64,4395.38,4401.57,
EU0009658145D1,2001-05-04,4395.89,4430.94,4349.11,4416.79,
EU0009658145D1,2001-05-07,4429.43,4478.99,4422.35,4440.65,
EU0009658145D1,2001-05-08,4438.89,4477.73,4408.23,4441.86,
EU0009658145D1,2001-05-09,4444.91,4444.91,4383.7,4415.99,
EU0009658145D1,2001-05-10,4414.49,4532.52,4411.92,4519.04,
EU0009658145D1,2001-05-11,4508.05,4525.11,4466.36,4479.9,
EU0009658145D1,2001-05-14,4474.94,4474.94,4407.8,4426.78,
EU0009658145D1,2001-05-15,4432.98,4458.08,4402.51,4453.95,
EU0009658145D1,2001-05-16,4449.53,4451.67,4373.08,4449.61,
EU0009658145D1,2001-05-17,4468.16,4522.27,4468.16,4504.26,
EU0009658145D1,2001-05-18,4498.29,4556.45,4479.58,4546.41,
EU0009658145D1,2001-05-21,4548.48,4560.58,4511.86,4558.76,
EU0009658145D1,2001-05-22,4566.58,4617.44,4566.58,4582.07,
EU0009658145D1,2001-05-23,4579.44,4582.56,4535.12,4535.97,
EU0009658145D1,2001-05-24,4536.06,4567.45,4526.94,4561.38,
EU0009658145D1,2001-05-25,4559.6,4560.13,4490.89,4498.11,
EU0009658145D1,2001-05-28,4499.8,4536.23,4491.4,4512.6,
EU0009658145D1,2001-05-29,4515.93,4536.05,4469.47,4477.95,
EU0009658145D1,2001-05-30,4471.43,4471.43,4410.71,4413.37,
EU0009658145D1,2001-05-31,4405.98,4439.05,4381.4,4426.24,
EU0009658145D1,2001-06-01,4427.93,4452.48,4384.41,4414.84,
EU0009658145D1,2001-06-04,4412.78,4433.93,4412.78,4432.65,
EU0009658145D1,2001-06-05,4436.26,4496.51,4436.26,4493.93,
EU0009658145D1,2001-06-06,4493.77,4511.14,4463.9,4468.95,
EU0009658145D1,2001-06-07,4457.55,4473.16,4422.36,4450.41,
EU0009658145D1,2001-06-08,4457.45,4503.94,4447.2,4450.97,
EU0009658145D1,2001-06-11,4445.05,4471.99,4422.69,4424.92,
EU0009658145D1,2001-06-12,4420.81,4429.17,4274.5,4289.07,
EU0009658145D1,2001-06-13,4302.69,4342.23,4302.69,4336,
EU0009658145D1,2001-06-14,4328.18,4328.18,4272.33,4282.1,
EU0009658145D1,2001-06-15,4274.4,4274.4,4195.61,4236.9,
EU0009658145D1,2001-06-18,4238.58,4239.11,4165.48,4168.95,
EU0009658145D1,2001-06-19,4170.61,4233.64,4169.48,4195.43,
EU0009658145D1,2001-06-20,4185.28,4185.28,4114.98,4175.88,
EU0009658145D1,2001-06-21,4178.81,4199.03,4146.4,4174.06,
EU0009658145D1,2001-06-22,4174.11,4215.01,4173.65,4194.96,
EU0009658145D1,2001-06-25,4197.02,4232.19,4172.81,4211.77,
EU0009658145D1,2001-06-26,4209.01,4209.01,4116.57,4143.75,
EU0009658145D1,2001-06-27,4143.71,4155.34,4122.37,4124.24,
EU0009658145D1,2001-06-28,4117.71,4169.49,4049.58,4169.49,
EU0009658145D1,2001-06-29,4170.31,4244.42,4156.59,4243.91,
EU0009658145D1,2001-07-02,4236.3,4307.94,4222.25,4304.44,
EU0009658145D1,2001-07-03,4296.46,4296.46,4239.63,4243.8,
EU0009658145D1,2001-07-04,4243.97,4244.56,4188.29,4214.62,
EU0009658145D1,2001-07-05,4191.04,4206.46,4152,4185.47,
EU0009658145D1,2001-07-06,4179.7,4179.7,4067.61,4076.47,
EU0009658145D1,2001-07-09,4073.18,4089.32,3986.41,4077.86,
EU0009658145D1,2001-07-10,4074.42,4111.46,4027.76,4032.97,
EU0009658145D1,2001-07-11,4024.64,4024.64,3951.46,3974.64,
EU0009658145D1,2001-07-12,4007.26,4048.08,3998.97,4010.85,
EU0009658145D1,2001-07-13,4016.95,4044.42,3979.82,4044.42,
EU0009658145D1,2001-07-16,4044.99,4045.17,3997.08,4011.59,
EU0009658145D1,2001-07-17,4001.03,4001.03,3966.94,3996.05,
EU0009658145D1,2001-07-18,3998.04,3998.04,3900.79,3911.3,
EU0009658145D1,2001-07-19,3905.59,3991.08,3886.99,3991.08,
EU0009658145D1,2001-07-20,3982.13,3982.13,3920.12,3948.25,
EU0009658145D1,2001-07-23,3944.72,4023.85,3931.95,3977.18,
EU0009658145D1,2001-07-24,3974.56,3981.66,3929.11,3930.11,
EU0009658145D1,2001-07-25,3926.03,3955.5,3854.63,3860.7,
EU0009658145D1,2001-07-26,3863.51,3922.17,3859.04,3915.62,
EU0009658145D1,2001-07-27,3921.92,3989.96,3920.6,3986.48,
EU0009658145D1,2001-07-30,3985.81,4067.11,3975.95,4047.66,
EU0009658145D1,2001-07-31,4050.21,4093.01,4020.24,4091.38,
EU0009658145D1,2001-08-01,4089.25,4115.31,4076.42,4092.22,
EU0009658145D1,2001-08-02,4096.56,4150.89,4064.04,4066.43,
EU0009658145D1,2001-08-03,4066.77,4072.09,4023.37,4024.9,
EU0009658145D1,2001-08-06,4023.09,4069.29,4012.14,4044.29,
EU0009658145D1,2001-08-07,4044.42,4052.25,3984.08,4042.71,
EU0009658145D1,2001-08-08,4036.33,4036.33,3959.15,3972.98,
EU0009658145D1,2001-08-09,3957.6,3957.6,3871.9,3885.05,
EU0009658145D1,2001-08-10,3886.62,3932.69,3805.09,3828.68,
EU0009658145D1,2001-08-13,3840.06,3890.74,3816.14,3874.67,
EU0009658145D1,2001-08-14,3877.67,3954.94,3877.67,3924.67,
EU0009658145D1,2001-08-15,3920.22,3929.15,3885.88,3894.77,
EU0009658145D1,2001-08-16,3889.29,3889.29,3817.79,3849.17,
EU0009658145D1,2001-08-17,3855.01,3879.17,3734.23,3759.69,
EU0009658145D1,2001-08-20,3753.21,3781.21,3701.77,3765.61,
EU0009658145D1,2001-08-21,3770.58,3797.24,3746.61,3790.34,
EU0009658145D1,2001-08-22,3780.84,3849.58,3748.03,3793.55,
EU0009658145D1,2001-08-23,3802.67,3835.09,3776.55,3816.99,
EU0009658145D1,2001-08-24,3818.67,3896.49,3818.67,3890.55,
EU0009658145D1,2001-08-27,3897.98,3940.43,3882.25,3892.15,
EU0009658145D1,2001-08-28,3890.36,3924.44,3806.92,3823.33,
EU0009658145D1,2001-08-29,3820.09,3859.67,3776.49,3832.6,
EU0009658145D1,2001-08-30,3826.73,3849.68,3736.66,3737.12,
EU0009658145D1,2001-08-31,3729.92,3767.42,3711.71,3745.02,
EU0009658145D1,2001-09-03,3747.51,3758.61,3657.1,3691.77,
EU0009658145D1,2001-09-04,3699.28,3756.35,3642.05,3736.82,
EU0009658145D1,2001-09-05,3737.75,3737.75,3634.68,3637.17,
EU0009658145D1,2001-09-06,3639.11,3669.86,3541.1,3550.26,
EU0009658145D1,2001-09-07,3542.45,3559.1,3446.97,3456.52,
EU0009658145D1,2001-09-10,3440.68,3466.69,3317.59,3440.65,
EU0009658145D1,2001-09-11,3446.17,3539.55,3198.17,3220.27,
EU0009658145D1,2001-09-12,3211.82,3308.75,3126.05,3260.9,
EU0009658145D1,2001-09-13,3260.18,3302.8,3208.35,3293.82,
EU0009658145D1,2001-09-14,3292.75,3334.61,3091.21,3091.21,
EU0009658145D1,2001-09-17,3085.98,3223.5,2988.28,3204.96,
EU0009658145D1,2001-09-18,3203.09,3203.09,3119.25,3189.94,
EU0009658145D1,2001-09-19,3186.32,3241.59,3100.35,3105.13,
EU0009658145D1,2001-09-20,3106.25,3126.82,2957.74,2967.94,
EU0009658145D1,2001-09-21,2962.67,2962.67,2741,2877.68,
EU0009658145D1,2001-09-24,2878.71,3070.68,2878.71,3068.05,
EU0009658145D1,2001-09-25,3067.84,3133.97,2988.28,3095.75,
EU0009658145D1,2001-09-26,3092.43,3202.06,3056.55,3155.68,
EU0009658145D1,2001-09-27,3146.76,3198.78,3124.02,3198.78,
EU0009658145D1,2001-09-28,3208.58,3298.28,3208.58,3296.66,
EU0009658145D1,2001-10-01,3295.14,3296.25,3186.59,3208.31,
EU0009658145D1,2001-10-02,3210.13,3265.37,3147.43,3265.24,
EU0009658145D1,2001-10-03,3258.44,3265.25,3168,3264.59,
EU0009658145D1,2001-10-04,3280.78,3394.69,3280.78,3394.69,
EU0009658145D1,2001-10-05,3390.62,3424.03,3324.5,3348.02,
EU0009658145D1,2001-10-08,3338.81,3357.26,3231.46,3353.41,
EU0009658145D1,2001-10-09,3353.28,3399.15,3312.29,3357.12,
EU0009658145D1,2001-10-10,3352.18,3470.85,3323.25,3468.32,
EU0009658145D1,2001-10-11,3483.45,3570.81,3483.45,3510.55,
EU0009658145D1,2001-10-12,3520.31,3534.78,3461.07,3498.66,
EU0009658145D1,2001-10-15,3490.01,3490.01,3372.07,3393.62,
EU0009658145D1,2001-10-16,3393.9,3466.16,3371.49,3455.27,
EU0009658145D1,2001-10-17,3461.48,3581.61,3461.48,3531.76,
EU0009658145D1,2001-10-18,3507.71,3507.71,3438.14,3457.9,
EU0009658145D1,2001-10-19,3456.99,3465.99,3371.66,3406.94,
EU0009658145D1,2001-10-22,3408.42,3481.95,3385.46,3480.27,
EU0009658145D1,2001-10-23,3485.1,3584.82,3485.1,3580.5,
EU0009658145D1,2001-10-24,3567.52,3651.41,3527.76,3609.65,
EU0009658145D1,2001-10-25,3612.62,3666.32,3494.96,3523.43,
EU0009658145D1,2001-10-26,3535.53,3611.88,3535.53,3611.88,
EU0009658145D1,2001-10-29,3610.22,3610.22,3527.4,3527.55,
EU0009658145D1,2001-10-30,3513.17,3513.17,3390.19,3414.72,
EU0009658145D1,2001-10-31,3410.27,3519.73,3364.1,3478.63,
EU0009658145D1,2001-11-01,3473.13,3508.96,3417.33,3508.96,
EU0009658145D1,2001-11-02,3514.8,3550.5,3479.39,3503.26,
EU0009658145D1,2001-11-05,3505.45,3610.02,3504.88,3606.5,
EU0009658145D1,2001-11-06,3611.94,3653.98,3575.78,3589.69,
EU0009658145D1,2001-11-07,3587.97,3639.44,3554.18,3633.05,
EU0009658145D1,2001-11-08,3632.9,3741.19,3626.18,3719.47,
EU0009658145D1,2001-11-09,3708.22,3708.22,3657.47,3665.78,
EU0009658145D1,2001-11-12,3665.64,3665.87,3504.7,3567.55,
EU0009658145D1,2001-11-13,3578.78,3721.07,3578.78,3717.98,
EU0009658145D1,2001-11-14,3718.84,3796.29,3686.09,3708.36,
EU0009658145D1,2001-11-15,3709.16,3762.65,3677.39,3703.85,
EU0009658145D1,2001-11-16,3701.96,3755.2,3679.05,3743.44,
EU0009658145D1,2001-11-19,3744.35,3820,3744.35,3795.72,
EU0009658145D1,2001-11-20,3794.36,3808.27,3714.55,3747.27,
EU0009658145D1,2001-11-21,3743.5,3781.95,3718.5,3730.04,
EU0009658145D1,2001-11-22,3736.76,3787.4,3736.76,3770.29,
EU0009658145D1,2001-11-23,3772.45,3801.67,3715.98,3772.19,
EU0009658145D1,2001-11-26,3776.68,3819.89,3752.95,3753.54,
EU0009658145D1,2001-11-27,3759.65,3784.79,3656.95,3681.05,
EU0009658145D1,2001-11-28,3680.4,3687.75,3624.75,3631.76,
EU0009658145D1,2001-11-29,3621.21,3658.77,3594.07,3629.37,
EU0009658145D1,2001-11-30,3640.37,3683.83,3621.9,3658.27,
EU0009658145D1,2001-12-03,3652.46,3652.46,3577.41,3645.6,
EU0009658145D1,2001-12-04,3645.55,3693.41,3645.54,3690.25,
EU0009658145D1,2001-12-05,3695.27,3824.85,3695.27,3821.8,
EU0009658145D1,2001-12-06,3821.84,3865.4,3805.64,3828.76,
EU0009658145D1,2001-12-07,3830.47,3835.33,3788.56,3792.85,
EU0009658145D1,2001-12-10,3785.41,3788.97,3715.67,3720.2,
EU0009658145D1,2001-12-11,3711.66,3758.33,3681.72,3744.56,
EU0009658145D1,2001-12-12,3743.66,3770.9,3685.23,3692.39,
EU0009658145D1,2001-12-13,3688.96,3713.36,3602.52,3607.26,
EU0009658145D1,2001-12-14,3602.27,3618.47,3567.5,3568.73,
EU0009658145D1,2001-12-17,3568.53,3703.89,3568.53,3692.85,
