r_old;vol_old;;r;volatility;;
0.103870287;0.012598816;;0.029819877;0.5;;
0.111764578;0.012598816;;-0.120560319;0.5;;
0.087915516;0.012598816;;0.119538617;0.5;;
0.11103028;0.012598816;;0.156518838;0.5;;
0.107163364;0.012598816;;-0.149802901;0.5;;
0.096707658;0.012598816;;-0.145630813;0.5;;
0.087152374;0.012598816;;0.026167615;0.5;;
0.106739055;0.012598816;;0.013820475;0.5;;
0.114280937;0.012598816;;0.180733474;0.5;;
0.106774682;0.012598816;;0.071326642;0.5;;
0.089934954;0.012598816;;-0.079321345;0.5;;
0.091929848;0.012598816;;-0.143880044;0.5;;
0.084544076;0.012598816;;0.060429913;0.5;;
0.091554694;0.012598816;;0.144713931;0.5;;
0.093535579;0.012598816;;0.169036157;0.5;;
0.098490946;0.012598816;;0.073708807;0.5;;
0.081042908;0.012598816;;0.08837739;0.5;;
0.091342303;0.012598816;;-0.163177486;0.5;;
0.104554958;0.012598816;;-0.03139478;0.5;;
0.113933448;0.012598816;;0.089134436;0.5;;
0.116060387;0.012598816;;-0.019529191;0.5;;
0.078675964;0.012598816;;-0.030217802;0.5;;
0.089807858;0.012598816;;0.188442192;0.5;;
0.095873813;0.012598816;;0.150298277;0.5;;
0.113710658;0.012598816;;-0.107701812;0.5;;
0.105141705;0.012598816;;0.019027483;0.5;;
0.120902383;0.012598816;;0.075038172;0.5;;
0.125117907;0.012598816;;0.073430785;0.5;;
0.089399143;0.012598816;;0.045178833;0.5;;
0.114510216;0.012598816;;0.111576089;0.5;;
0.102195012;0.012598816;;-0.003831692;0.5;;
0.097303113;0.012598816;;0.239668619;0.5;;
0.076015323;0.012598816;;0.092889126;0.5;;
0.098191997;0.012598816;;0.042495296;0.5;;
0.124380628;0.012598816;;0.081757938;0.5;;
0.132637106;0.012598816;;0.034755081;0.5;;
0.122622184;0.012598816;;0.051225468;0.5;;
0.101426929;0.012598816;;-0.105919854;0.5;;
0.103153785;0.012598816;;-0.054872077;0.5;;
0.111130904;0.012598816;;-0.131071728;0.5;;
0.113331541;0.012598816;;0.121806599;0.5;;
0.097976779;0.012598816;;-0.228152243;0.5;;
0.094248011;0.012598816;;-0.139853319;0.5;;
0.10363541;0.012598816;;-0.108094392;0.5;;
0.089595423;0.012598816;;0.042933132;0.5;;
0.118218213;0.012598816;;0.012901993;0.5;;
0.089324134;0.012598816;;0.05352226;0.5;;
0.098233346;0.012598816;;-0.007520334;0.5;;
0.075869799;0.012598816;;0.052809669;0.5;;
0.071500354;0.012598816;;0.087376241;0.5;;
0.116590539;0.012598816;;0.187497516;0.5;;
0.088164064;0.012598816;;0.262895984;0.5;;
0.087546636;0.012598816;;0.046065382;0.5;;
0.103550851;0.012598816;;-0.01584085;0.5;;
0.092447909;0.012598816;;-0.054815018;0.5;;
0.088798176;0.012598816;;0.067005635;0.5;;
0.108379826;0.012598816;;0.012404304;0.5;;
0.084981255;0.012598816;;-0.126353381;0.5;;
0.084051423;0.012598816;;0.2307591;0.5;;
0.117817401;0.012598816;;0.032959662;0.5;;
0.092420937;0.012598816;;0.086228043;0.5;;
0.084417573;0.012598816;;0.180989133;0.5;;
0.100842853;0.012598816;;0.054137405;0.5;;
0.118000377;0.012598816;;-0.034320084;0.5;;
0.107103854;0.012598816;;0.071019449;0.5;;
0.101191092;0.012598816;;0.017820375;0.5;;
0.090120884;0.012598816;;0.007829376;0.5;;
0.122877191;0.012598816;;-0.008139654;0.5;;
0.085354868;0.012598816;;0.090238169;0.5;;
0.119913523;0.012598816;;0.232075062;0.5;;
0.107664276;0.012598816;;-0.134298025;0.5;;
0.085319552;0.012598816;;-0.007223801;0.5;;
0.11273405;0.012598816;;0.001959402;0.5;;
0.099700974;0.012598816;;0.197994503;0.5;;
0.121053737;0.012598816;;0.04352234;0.5;;
0.076796627;0.012598816;;0.185306584;0.5;;
0.115969786;0.012598816;;0.175243772;0.5;;
0.094364328;0.012598816;;0.173698957;0.5;;
0.085566819;0.012598816;;0.048127761;0.5;;
0.090004929;0.012598816;;0.086656835;0.5;;
0.087999922;0.012598816;;-0.05581397;0.5;;
0.07974062;0.012598816;;0.137594506;0.5;;
0.073391664;0.012598816;;-0.118569914;0.5;;
0.107250613;0.012598816;;-0.083388663;0.5;;
0.112877187;0.012598816;;0.085907298;0.5;;
0.091638479;0.012598816;;-0.057273049;0.5;;
0.114981151;0.012598816;;0.166848582;0.5;;
0.12837299;0.012598816;;-0.039443474;0.5;;
0.097494569;0.012598816;;-0.028911146;0.5;;
0.127086044;0.012598816;;-0.042339353;0.5;;
0.084576341;0.012598816;;0.053025103;0.5;;
0.126085928;0.012598816;;0.047375672;0.5;;
0.091169632;0.012598816;;0.062872324;0.5;;
0.114958654;0.012598816;;0.115027916;0.5;;
0.102172491;0.012598816;;0.025181997;0.5;;
0.111352741;0.012598816;;-0.119586743;0.5;;
0.100108523;0.012598816;;-0.073976899;0.5;;
0.105368195;0.012598816;;-0.040858538;0.5;;
0.095815108;0.012598816;;-0.04512563;0.5;;
0.106444615;0.012598816;;0.005132608;0.5;;
0.103101629;0.012598816;;0.097486304;0.5;;
0.090549712;0.012598816;;0.208439442;0.5;;
0.095368337;0.012598816;;0.058552564;0.5;;
0.096540675;0.012598816;;-0.010246742;0.5;;
0.102385335;0.012598816;;-0.079526193;0.5;;
0.095053737;0.012598816;;0.097414224;0.5;;
0.102496893;0.012598816;;-0.060025593;0.5;;
0.092657744;0.012598816;;0.05980678;0.5;;
0.088949782;0.012598816;;0.06486656;0.5;;
0.127170328;0.012598816;;0.194071786;0.5;;
0.109165328;0.012598816;;-0.04089295;0.5;;
0.098950343;0.012598816;;0.045703546;0.5;;
0.120833007;0.012598816;;-0.101172628;0.5;;
0.100733543;0.012598816;;0.014186424;0.5;;
0.105878691;0.012598816;;0.072207234;0.5;;
0.105848406;0.012598816;;0.07689775;0.5;;
0.11300145;0.012598816;;0.063187384;0.5;;
0.115818587;0.012598816;;0.106989743;0.5;;
0.0989956;0.012598816;;0.051911775;0.5;;
0.120020275;0.012598816;;0.012460818;0.5;;
0.119554584;0.012598816;;0.120295716;0.5;;
0.092740508;0.012598816;;0.038243677;0.5;;
0.08104923;0.012598816;;0.237253204;0.5;;
0.094381433;0.012598816;;-0.192473634;0.5;;
0.090081706;0.012598816;;0.178367824;0.5;;
0.100260639;0.012598816;;0.115081299;0.5;;
0.101922639;0.012598816;;-0.0192275;0.5;;
0.099092418;0.012598816;;-0.063333765;0.5;;
0.073949786;0.012598816;;0.082167557;0.5;;
0.103785328;0.012598816;;0.230678709;0.5;;
0.100937142;0.012598816;;0.169698665;0.5;;
0.077089955;0.012598816;;0.095983503;0.5;;
0.08953142;0.012598816;;0.126785006;0.5;;
0.0823378;0.012598816;;0.107230062;0.5;;
0.089665019;0.012598816;;0.115112917;0.5;;
0.085386736;0.012598816;;-0.008993237;0.5;;
0.106859417;0.012598816;;0.022125357;0.5;;
0.114045497;0.012598816;;0.249684515;0.5;;
0.11101075;0.012598816;;0.105973748;0.5;;
0.096161779;0.012598816;;-0.037273273;0.5;;
0.11376557;0.012598816;;-0.036302732;0.5;;
0.098599788;0.012598816;;-0.04737202;0.5;;
0.127014314;0.012598816;;0.070939993;0.5;;
0.107887843;0.012598816;;0.182888573;0.5;;
0.107425031;0.012598816;;-0.026447377;0.5;;
0.085848638;0.012598816;;0.177245041;0.5;;
0.110753708;0.012598816;;0.078697485;0.5;;
0.117499366;0.012598816;;-0.122683667;0.5;;
0.103070833;0.012598816;;-0.020999827;0.5;;
0.095739689;0.012598816;;0.048366566;0.5;;
0.092353278;0.012598816;;-0.096721896;0.5;;
0.107627918;0.012598816;;0.01862964;0.5;;
0.11711632;0.012598816;;0.071526978;0.5;;
0.104291958;0.012598816;;-0.030675472;0.5;;
0.080867273;0.012598816;;0.197223917;0.5;;
0.102210594;0.012598816;;-0.080571993;0.5;;
0.087650721;0.012598816;;0.101388072;0.5;;
0.088574913;0.012598816;;0.012143641;0.5;;
0.103143628;0.012598816;;-0.037641085;0.5;;
0.10638465;0.012598816;;-0.029524655;0.5;;
0.101416434;0.012598816;;0.07574426;0.5;;
0.128041821;0.012598816;;-0.1318693;0.5;;
0.128023239;0.012598816;;0.232194851;0.5;;
0.098868909;0.012598816;;0.112584738;0.5;;
0.116701457;0.012598816;;0.336134203;0.5;;
0.101361132;0.012598816;;-0.003154733;0.5;;
0.107011082;0.012598816;;-0.098025517;0.5;;
0.093726593;0.012598816;;-0.032161933;0.5;;
0.082001891;0.012598816;;-0.103980504;0.5;;
0.104997514;0.012598816;;-0.108429861;0.5;;
0.09306456;0.012598816;;0.022493405;0.5;;
0.109578382;0.012598816;;0.111928569;0.5;;
0.100542374;0.012598816;;0.222758776;0.5;;
0.085007445;0.012598816;;0.05806036;0.5;;
0.129571761;0.012598816;;-0.148080171;0.5;;
0.100368777;0.012598816;;0.173330753;0.5;;
0.117918728;0.012598816;;0.210218679;0.5;;
0.112177271;0.012598816;;-0.073857791;0.5;;
0.102156363;0.012598816;;0.124436714;0.5;;
0.096349942;0.012598816;;0.054523866;0.5;;
0.080148155;0.012598816;;-0.104591639;0.5;;
0.107898324;0.012598816;;-0.071869667;0.5;;
0.085974323;0.012598816;;0.057153846;0.5;;
0.118624662;0.012598816;;-0.000836363;0.5;;
0.104177507;0.012598816;;0.061249672;0.5;;
0.09285045;0.012598816;;0.027306604;0.5;;
0.088794332;0.012598816;;-0.056247362;0.5;;
0.094646553;0.012598816;;-0.131866691;0.5;;
0.099557635;0.012598816;;-0.029146219;0.5;;
0.106537162;0.012598816;;-0.021376738;0.5;;
0.117190602;0.012598816;;0.031273868;0.5;;
0.104693691;0.012598816;;0.105534759;0.5;;
0.122525225;0.012598816;;0.026395423;0.5;;
0.122918088;0.012598816;;0.086512934;0.5;;
0.110260466;0.012598816;;-0.124470018;0.5;;
0.113032375;0.012598816;;0.068127646;0.5;;
0.098375292;0.012598816;;-0.002209399;0.5;;
0.116827294;0.012598816;;0.041312829;0.5;;
0.11314145;0.012598816;;0.142327889;0.5;;
0.123728493;0.012598816;;0.159453413;0.5;;
0.111488255;0.012598816;;0.079553234;0.5;;
0.10230298;0.012598816;;0.11205473;0.5;;
0.099552706;0.012598816;;0.15037101;0.5;;
0.106362205;0.012598816;;0.275357895;0.5;;
0.100174669;0.012598816;;0.169528007;0.5;;
0.097820575;0.012598816;;0.189186251;0.5;;
0.099750382;0.012598816;;0.042056182;0.5;;
0.087449169;0.012598816;;0.108924123;0.5;;
0.086788513;0.012598816;;0.236856499;0.5;;
0.07571638;0.012598816;;0.081842879;0.5;;
0.085870744;0.012598816;;0.001242994;0.5;;
0.103995255;0.012598816;;0.089672304;0.5;;
0.104811385;0.012598816;;0.036177291;0.5;;
0.110975022;0.012598816;;0.121951281;0.5;;
0.100024105;0.012598816;;0.121008854;0.5;;
0.104663483;0.012598816;;0.069587762;0.5;;
0.113047766;0.012598816;;0.152019441;0.5;;
0.089919777;0.012598816;;0.097562701;0.5;;
0.109651037;0.012598816;;0.086811766;0.5;;
0.103259926;0.012598816;;-0.037670874;0.5;;
0.101576722;0.012598816;;-0.152909757;0.5;;
0.085376518;0.012598816;;0.099396733;0.5;;
0.090771399;0.012598816;;0.069133264;0.5;;
0.091621222;0.012598816;;0.157397856;0.5;;
0.098593197;0.012598816;;-0.037864153;0.5;;
0.09167191;0.012598816;;-0.060277884;0.5;;
0.080282606;0.012598816;;0.091307067;0.5;;
0.106043749;0.012598816;;0.030204914;0.5;;
0.087498931;0.012598816;;0.170471506;0.5;;
0.102275834;0.012598816;;0.050481325;0.5;;
0.096297896;0.012598816;;0.066491805;0.5;;
0.115503355;0.012598816;;0.060869666;0.5;;
0.097105559;0.012598816;;0.064571255;0.5;;
0.107038291;0.012598816;;-0.121035734;0.5;;
0.094856612;0.012598816;;-0.050583916;0.5;;
0.104152295;0.012598816;;0.323944194;0.5;;
0.119798925;0.012598816;;0.095318021;0.5;;
0.106070374;0.012598816;;0.208932942;0.5;;
0.104420409;0.012598816;;-0.013109154;0.5;;
0.092098614;0.012598816;;0.045021129;0.5;;
0.118476625;0.012598816;;-0.022463597;0.5;;
0.113377747;0.012598816;;-0.081369642;0.5;;
0.103854118;0.012598816;;0.098735456;0.5;;
0.107477313;0.012598816;;0.075053052;0.5;;
0.106365534;0.012598816;;-0.101791177;0.5;;
0.092180376;0.012598816;;0.149122478;0.5;;
0.119902714;0.012598816;;0.019484737;0.5;;
0.105691158;0.012598816;;0.050969632;0.5;;
0.101101365;0.012598816;;0.127584685;0.5;;
0.104538929;0.012598816;;-0.021778598;0.5;;
0.107562401;0.012598816;;0.091253249;0.5;;
0.095074973;0.012598816;;0.034321447;0.5;;
0.094773824;0.012598816;;0.262359121;0.5;;
0.085556292;0.012598816;;0.004827881;0.5;;
0.09933891;0.012598816;;0.117266149;0.5;;
0.116426764;0.012598816;;0.09780397;0.5;;
0.117641469;0.012598816;;0.233295604;0.5;;
0.098651433;0.012598816;;-0.059177217;0.5;;
0.10607214;0.012598816;;0.106402328;0.5;;
0.135430437;0.012598816;;0.066335411;0.5;;
0.119339841;0.012598816;;0.016642295;0.5;;
0.103170682;0.012598816;;0.020510908;0.5;;
0.109932418;0.012598816;;-0.113923176;0.5;;
0.11507502;0.012598816;;0.209148379;0.5;;
0.082464693;0.012598816;;0.055557355;0.5;;
0.088272268;0.012598816;;0.184181066;0.5;;
0.120081013;0.012598816;;0.286879145;0.5;;
0.103300852;0.012598816;;-0.005323032;0.5;;
0.096146719;0.012598816;;0.025563064;0.5;;
0.123204592;0.012598816;;-0.00503648;0.5;;
0.09082856;0.012598816;;-0.032761086;0.5;;
0.079422171;0.012598816;;0.020943865;0.5;;
0.100497209;0.012598816;;0.041148607;0.5;;
0.091281728;0.012598816;;0.013789396;0.5;;
0.108923981;0.012598816;;0.000833812;0.5;;
0.12756181;0.012598816;;0.141640778;0.5;;
0.094913772;0.012598816;;-0.02065935;0.5;;
0.106250403;0.012598816;;-0.008353269;0.5;;
0.101689585;0.012598816;;-0.045844972;0.5;;
0.116799988;0.012598816;;0.00736855;0.5;;
0.101057169;0.012598816;;0.142269447;0.5;;
0.108486165;0.012598816;;0.048899715;0.5;;
0.097212308;0.012598816;;0.138313961;0.5;;
0.093114674;0.012598816;;0.010291944;0.5;;
0.098595246;0.012598816;;-0.067703818;0.5;;
0.076309155;0.012598816;;0.098734281;0.5;;
0.10841738;0.012598816;;-0.152259042;0.5;;
0.094743654;0.012598816;;0.103665408;0.5;;
0.079249174;0.012598816;;-0.01696727;0.5;;
0.09861551;0.012598816;;-0.068727719;0.5;;
0.125688041;0.012598816;;0.05600342;0.5;;
0.109701693;0.012598816;;0.025297966;0.5;;
0.105795163;0.012598816;;0.137741641;0.5;;
0.098474016;0.012598816;;0.118933563;0.5;;
0.123070616;0.012598816;;-0.008626585;0.5;;
0.085626363;0.012598816;;-0.01062757;0.5;;
0.10221898;0.012598816;;-0.00939372;0.5;;
0.086554252;0.012598816;;0.067776556;0.5;;
0.093137429;0.012598816;;0.075640139;0.5;;
0.071843072;0.012598816;;0.031793914;0.5;;
0.116056738;0.012598816;;-0.038066726;0.5;;
0.118094913;0.012598816;;-0.055163201;0.5;;
0.105582875;0.012598816;;-0.037495751;0.5;;
0.096094007;0.012598816;;0.113708541;0.5;;
0.093908536;0.012598816;;-0.001923752;0.5;;
0.120256931;0.012598816;;0.188906258;0.5;;
0.112999088;0.012598816;;0.152396697;0.5;;
0.120721319;0.012598816;;0.229293466;0.5;;
0.087301625;0.012598816;;0.191855848;0.5;;
0.105572819;0.012598816;;0.155321875;0.5;;
0.077507356;0.012598816;;0.24754039;0.5;;
0.099192799;0.012598816;;0.058385932;0.5;;
0.10702477;0.012598816;;0.009011693;0.5;;
0.099424821;0.012598816;;0.088506141;0.5;;
0.092616837;0.012598816;;-0.01423119;0.5;;
0.105167396;0.012598816;;0.05428916;0.5;;
0.091706662;0.012598816;;0.090572625;0.5;;
0.098387957;0.012598816;;-0.05334563;0.5;;
0.135230968;0.012598816;;0.044293666;0.5;;
0.112232616;0.012598816;;0.112435498;0.5;;
0.099192122;0.012598816;;-0.028794678;0.5;;
0.117194773;0.012598816;;0.350380145;0.5;;
0.106014704;0.012598816;;0.019399652;0.5;;
0.106088541;0.012598816;;0.021218127;0.5;;
0.096788569;0.012598816;;0.011586271;0.5;;
0.087098359;0.012598816;;0.096374486;0.5;;
0.120167908;0.012598816;;0.025515534;0.5;;
0.109579917;0.012598816;;0.160803613;0.5;;
0.101909985;0.012598816;;0.076940267;0.5;;
0.115855411;0.012598816;;-0.028203531;0.5;;
0.088222796;0.012598816;;-0.072829175;0.5;;
0.112070981;0.012598816;;0.003088488;0.5;;
0.10733115;0.012598816;;0.06914725;0.5;;
0.089991738;0.012598816;;0.02146484;0.5;;
0.112357664;0.012598816;;0.065348938;0.5;;
0.113885261;0.012598816;;0.058837964;0.5;;
0.114810245;0.012598816;;0.129328495;0.5;;
0.097961156;0.012598816;;-0.045487041;0.5;;
0.095549946;0.012598816;;0.00573641;0.5;;
0.098036601;0.012598816;;0.07729804;0.5;;
0.071745834;0.012598816;;-0.09804249;0.5;;
0.132311231;0.012598816;;-0.020812343;0.5;;
0.119163502;0.012598816;;-0.123150563;0.5;;
0.088735402;0.012598816;;0.224459186;0.5;;
0.080551798;0.012598816;;0.002463255;0.5;;
0.089169456;0.012598816;;0.057736864;0.5;;
0.091829573;0.012598816;;0.107088492;0.5;;
0.091421224;0.012598816;;-0.063781733;0.5;;
0.085393671;0.012598816;;0.264151362;0.5;;
0.1100615;0.012598816;;-0.015555992;0.5;;
0.108596886;0.012598816;;0.006235635;0.5;;
0.136002042;0.012598816;;0.092936023;0.5;;
0.108980203;0.012598816;;0.169066423;0.5;;
0.083650495;0.012598816;;-0.02723917;0.5;;
0.100465498;0.012598816;;-0.122885866;0.5;;
0.086342798;0.012598816;;0.287394214;0.5;;
0.101317819;0.012598816;;0.019003949;0.5;;
0.126305541;0.012598816;;0.025780862;0.5;;
0.088648692;0.012598816;;0.097361713;0.5;;
0.08638514;0.012598816;;0.016969699;0.5;;
0.094887389;0.012598816;;0.052198482;0.5;;
0.085146258;0.012598816;;0.029071072;0.5;;
0.084213836;0.012598816;;0.301206302;0.5;;
0.106949033;0.012598816;;-0.083130276;0.5;;
0.096422792;0.012598816;;-0.004979205;0.5;;
0.130306781;0.012598816;;0.052430753;0.5;;
0.096913472;0.012598816;;0.168637155;0.5;;
0.111084888;0.012598816;;0.126196044;0.5;;
0.110381232;0.012598816;;0.085110867;0.5;;
0.105714026;0.012598816;;0.118323719;0.5;;
0.081421084;0.012598816;;0.079959044;0.5;;
0.091649861;0.012598816;;-0.078535557;0.5;;
0.085561955;0.012598816;;0.00606805;0.5;;
0.105661178;0.012598816;;-0.049585906;0.5;;
0.088939636;0.012598816;;0.004645194;0.5;;
0.093663174;0.012598816;;0.054894409;0.5;;
0.09299769;0.012598816;;0.109890791;0.5;;
0.121898195;0.012598816;;0.069647838;0.5;;
0.123719811;0.012598816;;-0.071565026;0.5;;
0.110331217;0.012598816;;0.190322006;0.5;;
0.112249054;0.012598816;;-0.140160088;0.5;;
0.114498823;0.012598816;;-0.056040486;0.5;;
0.118422681;0.012598816;;0.016235069;0.5;;
0.115549277;0.012598816;;-0.064245669;0.5;;
0.076160055;0.012598816;;0.037646902;0.5;;
0.115173853;0.012598816;;-0.02061669;0.5;;
0.100194228;0.012598816;;-0.031035014;0.5;;
0.102277781;0.012598816;;0.101266865;0.5;;
0.123293962;0.012598816;;0.133220754;0.5;;
0.098672751;0.012598816;;0.300953054;0.5;;
0.103710357;0.012598816;;-0.043027279;0.5;;
0.084936905;0.012598816;;0.016239313;0.5;;
0.095673668;0.012598816;;0.047447675;0.5;;
0.104461762;0.012598816;;0.106330455;0.5;;
0.077939272;0.012598816;;0.257097542;0.5;;
0.101508796;0.012598816;;0.023768485;0.5;;
0.110251433;0.012598816;;-0.054466043;0.5;;
0.0904777;0.012598816;;0.076970325;0.5;;
0.116435213;0.012598816;;0.151684078;0.5;;
0.08307315;0.012598816;;-0.047345841;0.5;;
0.090804172;0.012598816;;0.078845154;0.5;;
0.074006772;0.012598816;;0.063239403;0.5;;
0.087163914;0.012598816;;-0.008262968;0.5;;
0.08320244;0.012598816;;-0.069133554;0.5;;
0.102951819;0.012598816;;-0.088009539;0.5;;
0.114044655;0.012598816;;0.016337612;0.5;;
0.110413731;0.012598816;;0.077187;0.5;;
0.10458133;0.012598816;;-0.005586068;0.5;;
0.097095734;0.012598816;;0.040249504;0.5;;
0.090168667;0.012598816;;0.057030435;0.5;;
0.091505518;0.012598816;;0.034756224;0.5;;
0.112812942;0.012598816;;-0.00393359;0.5;;
0.090905384;0.012598816;;0.133265146;0.5;;
0.117684726;0.012598816;;0.185456831;0.5;;
0.09017224;0.012598816;;0.045509702;0.5;;
0.079020478;0.012598816;;0.055591535;0.5;;
0.118523769;0.012598816;;-0.113011945;0.5;;
0.102145892;0.012598816;;0.131341719;0.5;;
0.091735855;0.012598816;;0.060802123;0.5;;
0.113438081;0.012598816;;-0.203962374;0.5;;
0.107991304;0.012598816;;0.126433452;0.5;;
0.084283898;0.012598816;;-0.067741951;0.5;;
0.11348948;0.012598816;;0.024379149;0.5;;
0.078456778;0.012598816;;0.113558881;0.5;;
0.107898191;0.012598816;;0.017843549;0.5;;
0.113491709;0.012598816;;-0.019242078;0.5;;
0.09051749;0.012598816;;-0.029817423;0.5;;
0.090705381;0.012598816;;-0.055860878;0.5;;
0.093918269;0.012598816;;-0.064660783;0.5;;
0.102876843;0.012598816;;0.03795577;0.5;;
0.096773389;0.012598816;;0.069596693;0.5;;
0.098956455;0.012598816;;-0.12161099;0.5;;
0.086852664;0.012598816;;0.181199355;0.5;;
0.11559724;0.012598816;;0.184544798;0.5;;
0.108033473;0.012598816;;0.046880722;0.5;;
0.118807941;0.012598816;;-0.075426053;0.5;;
0.089302113;0.012598816;;0.165480743;0.5;;
0.083048058;0.012598816;;-0.088656421;0.5;;
0.095585615;0.012598816;;-0.009385731;0.5;;
0.095668997;0.012598816;;-0.171762712;0.5;;
0.123860455;0.012598816;;0.002742444;0.5;;
0.106183222;0.012598816;;-0.093086122;0.5;;
0.110410773;0.012598816;;0.101247009;0.5;;
0.107574542;0.012598816;;0.112654311;0.5;;
0.103745584;0.012598816;;-0.031294382;0.5;;
0.08825679;0.012598816;;-0.047892113;0.5;;
0.090273463;0.012598816;;0.188025377;0.5;;
0.090533432;0.012598816;;0.096265049;0.5;;
0.115702499;0.012598816;;0.071492001;0.5;;
0.100081136;0.012598816;;0.148403135;0.5;;
0.094125456;0.012598816;;0.090353841;0.5;;
0.125044643;0.012598816;;0.054242147;0.5;;
0.093214211;0.012598816;;0.173869352;0.5;;
0.093408172;0.012598816;;-0.020026312;0.5;;
0.095410706;0.012598816;;0.058491832;0.5;;
0.114146288;0.012598816;;-0.055198416;0.5;;
0.124465288;0.012598816;;0.024807516;0.5;;
0.114332583;0.012598816;;-0.051543011;0.5;;
0.108680963;0.012598816;;0.039136322;0.5;;
0.115948312;0.012598816;;0.013735382;0.5;;
0.089706014;0.012598816;;-0.013511963;0.5;;
0.08433449;0.012598816;;0.162407413;0.5;;
0.101662454;0.012598816;;0.026620946;0.5;;
0.109219019;0.012598816;;0.113150832;0.5;;
0.093317773;0.012598816;;0.068887671;0.5;;
0.111356609;0.012598816;;0.06561971;0.5;;
0.108558167;0.012598816;;0.007930888;0.5;;
0.119463746;0.012598816;;-0.18878711;0.5;;
0.106062438;0.012598816;;0.116010116;0.5;;
0.095868319;0.012598816;;-0.051553472;0.5;;
0.089305976;0.012598816;;0.034789461;0.5;;
0.109082299;0.012598816;;-0.059163779;0.5;;
0.09857446;0.012598816;;0.056236907;0.5;;
0.110828783;0.012598816;;-0.026690931;0.5;;
0.121708471;0.012598816;;0.10690244;0.5;;
0.099823637;0.012598816;;-0.052070256;0.5;;
0.107648275;0.012598816;;0.068737009;0.5;;
0.115266215;0.012598816;;0.064173914;0.5;;
0.10153427;0.012598816;;0.255880885;0.5;;
0.097154316;0.012598816;;0.044993473;0.5;;
0.113637611;0.012598816;;0.003391717;0.5;;
0.107147129;0.012598816;;-0.025445789;0.5;;
0.10297706;0.012598816;;0.123881936;0.5;;
0.104721158;0.012598816;;0.067906247;0.5;;
0.105947219;0.012598816;;0.024425656;0.5;;
0.119731709;0.012598816;;-0.03772596;0.5;;
0.090478556;0.012598816;;-0.046668276;0.5;;
0.098739297;0.012598816;;-0.071944828;0.5;;
